obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,controller_a_success,difficulty
"[0.03910166090623208, -0.003993044214418755, 0.074586850953451]","[-0.024089671269924718, 0.07557413773327316, 0.021182671644886172]","[-1.4958754, -0.09045754, -1.64601745]",HourM,normal,TRUE,TRUE,easy
"[0.026049537444268793, 0.005700586508797609, 0.074586850953451]","[-0.00932795256706705, 0.06588730182972413, 0.010950275377564768]","[-1.55686433, -0.10026131, -1.64529978]",HourM,normal,TRUE,TRUE,easy
"[-0.01274035044370466, -0.0022994636451909023, 0.074586850953451]","[0.015557966585764686, 0.07180524040888084, 0.013587252878300303]","[-1.54279592, -0.01197186, -1.52488022]",HourM,normal,TRUE,TRUE,easy
"[-0.023825697528816546, -0.005383690763583554, 0.074586850953451]","[0.05781917577925251, 0.06782569919591792, -0.007357887739994213]","[-1.66199028, -0.18633852, -1.5773001]",HourM,normal,TRUE,TRUE,easy
"[0.03439177446385581, 0.019114550816866478, 0.074586850953451]","[-0.028697249799715968, 0.052172161245671894, -0.005289433893411753]","[-1.659315, -0.03498765, -1.57837167]",HourM,normal,TRUE,TRUE,easy
"[0.0365198143132198, -0.0025869134669132335, 0.074586850953451]","[-0.01648207120805382, 0.0756447477203065, -0.004521615844301424]","[-1.64828388, -0.10938639, -1.54319427]",HourM,normal,TRUE,TRUE,easy
"[-0.00217487769163624, 0.007069750812303217, 0.07460802403582034]","[0.03646794565756228, 0.05868760697193213, 0.01445576277256778]","[-1.54218216, -0.20098338, -1.57911681]",HourM,normal,TRUE,TRUE,easy
"[0.05080170376826849, 0.005258715649281043, 0.074586850953451]","[-0.04013516020061931, 0.06746223166153024, 0.009800665391626882]","[-1.54381013, -0.06758146, -1.67439247]",HourM,normal,TRUE,TRUE,easy
"[0.025294285115879406, 0.02375152525308466, 0.0746117843531581]","[-0.04309873579186507, 0.04253779413890886, 0.0036005587911858]","[-1.56478532, 0.10838071, -1.72436512]",HourM,normal,TRUE,TRUE,easy
"[-0.031670372655478084, 0.007427932922619784, 0.074586850953451]","[0.024828568139145944, 0.06386586710631711, 0.004767759375833042]","[-1.60569732, 0.03799524, -1.6352154]",HourM,normal,TRUE,TRUE,easy
"[-0.0182909585414563, -0.007152286271918908, 0.074586850953451]","[0.04600494946365886, 0.07196289508421343, -0.0147643181024453]","[-1.70577817, -0.14767668, -1.59958046]",HourM,normal,TRUE,TRUE,easy
"[0.003852242009016703, 0.028504402596787083, 0.07459012749251195]","[0.02550717191737674, 0.03814135621251694, -0.021301103367538807]","[-1.80439391, -0.16350345, -1.77968276]",HourM,normal,TRUE,TRUE,easy
"[0.040340463543687234, 0.005297796967191494, 0.074586850953451]","[-0.034323548320317365, 0.06579646913282698, -0.012251793542619162]","[-1.70348877, -0.0382345, -1.51914261]",HourM,normal,TRUE,TRUE,easy
"[0.03231643292155693, 5.6206157377072796e-05, 0.074586850953451]","[-0.01822914080240933, 0.07195810957727782, -0.00821363466195487]","[-1.67043163, -0.0792151, -1.54073588]",HourM,normal,TRUE,TRUE,easy
"[0.04556159325226023, 0.0038007574442351644, 0.074586850953451]","[-0.013597469030939488, 0.0716925032491594, 0.003061565997558022]","[-1.59773827, -0.18019241, -1.67330716]",HourM,normal,TRUE,TRUE,easy
"[0.04986102033142515, 0.011638074437448367, 0.074586850953451]","[-0.017966404366558456, 0.06487024290048433, -0.003723441972799879]","[-1.63772708, -0.18367695, -1.66077875]",HourM,normal,TRUE,TRUE,easy
"[0.04898699112043262, 0.012508002397398521, 0.074586850953451]","[-0.05460857301266951, 0.054589492013261805, -0.021584616344065336]","[-1.71897368, 0.04589626, -1.67757687]",HourM,normal,TRUE,TRUE,easy
"[0.028262397465446433, 0.018373470873192854, 0.074586850953451]","[-0.010330183730679603, 0.05379148300799924, -0.008481371153600396]","[-1.67653776, -0.10741727, -1.62370041]",HourM,normal,TRUE,TRUE,easy
"[0.003989484798694577, 0.009808028998942196, 0.074586850953451]","[0.01989944773433775, 0.0587087768190172, -0.014386862643545576]","[-1.7364513, -0.11546848, -1.82978035]",HourM,normal,TRUE,TRUE,easy
"[0.0346829207063357, -0.0038715575231380306, 0.074586850953451]","[-0.044828563284610205, 0.07152022273779414, -0.0116987835353446]","[-1.68847755, 0.05441533, -1.55366482]",HourM,normal,TRUE,TRUE,easy
"[-0.008200613760514099, -0.006661232626617327, 0.074586850953451]","[0.027675742896791193, 0.07455471909371653, 0.012948860086057105]","[-1.55625374, -0.10738216, -1.60836168]",HourM,normal,TRUE,TRUE,easy
"[0.031693469820804655, 0.007174770485141771, 0.074586850953451]","[-0.005540120259655737, 0.06567857058178897, -0.007986308435975274]","[-1.66832534, -0.14743669, -1.62312982]",HourM,normal,TRUE,TRUE,easy
"[0.0373768130437143, 0.012687157160490355, 0.074586850953451]","[-0.007350571893855996, 0.06151178355126536, 0.0021654003512750417]","[-1.61186536, -0.17691118, -1.59048024]",HourM,normal,TRUE,TRUE,easy
"[0.015598759150786828, 0.006067576316630151, 0.074586850953451]","[-0.003599592403879897, 0.06397062966514205, -0.017362905122599227]","[-1.71933047, -0.05474971, -1.71682719]",HourM,normal,TRUE,TRUE,easy
"[0.0397941527601507, -0.0032801221945818818, 0.074586850953451]","[-0.002141969477673901, 0.07590757451038367, -0.026331762615192378]","[-1.75846048, -0.17233855, -1.79856443]",HourM,normal,TRUE,TRUE,easy
"[0.005271275083516044, 0.034960754718216476, 0.074586850953451]","[-0.012400537278535989, 0.034768908718278875, 0.006062754083637255]","[-1.58130889, 0.04283928, -1.70449402]",HourM,normal,TRUE,TRUE,easy
"[0.03655307871500769, 0.011314812143610437, 0.074586850953451]","[-0.007325067715770114, 0.06268701244132598, -0.0008703523313039357]","[-1.62967266, -0.17062385, -1.58654402]",HourM,normal,TRUE,TRUE,easy
"[0.035145683300155696, -0.005707587672018576, 0.074586850953451]","[-0.015327659461342513, 0.0781445490965341, -0.013176376768110593]","[-1.69714593, -0.11151492, -1.49577897]",HourM,normal,TRUE,TRUE,easy
