obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,controller_a_success,difficulty
"[0.044158490043680054, 0.008421376775234857, 0.052599722657318375]","[-0.044168560437728134, 0.06158876202539862, -0.012628472043091721]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[-0.012575559045796032, 0.03282687226903743, 0.05259972265731838]","[0.012565455186778174, 0.0371832742698017, -0.012693085623577967]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[-0.02567220616482241, 0.018130680687907203, 0.052599722657318375]","[0.02566210747266221, 0.05187946119123742, -0.012691811867308436]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.046617201888099716, 0.005252593148835849, 0.052599722657318375]","[-0.04662726949312804, 0.06475754464707721, -0.012623990718933864]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[-0.017548659723167874, 0.001986505785793959, 0.05259972265731838]","[0.01753857384433186, 0.06802363097454675, -0.012672486836669999]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.04533010236626342, 0.002924379006772463, 0.052599722657318375]","[-0.04534016890298508, 0.06708575805093801, -0.012623161652140693]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.040524865443831104, 0.0035577607121789643, 0.052599722657318375]","[-0.04053493390579071, 0.06645237654635669, -0.012627492569263609]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[-0.018221870060650052, -0.00031514108534124585, 0.052599722657318375]","[0.01821178542791814, 0.070325277115903, -0.012671190069742667]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[-0.010657515015112275, -0.007560803501899481, 0.052599722657318375]","[0.010647437375533595, 0.07757093723509235, -0.012659396459080631]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.03754948298712305, 0.005114517017397359, 0.05274453054240429]","[-0.037559438065327036, 0.06489550542034933, -0.012486293838765426]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[-0.039386833296012225, 0.01704948110233005, 0.052739999952448845]","[0.039376842647529796, 0.05296054872744359, -0.012561594997208563]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.04443452964376387, 0.010523308413591797, 0.052599722657318375]","[-0.04444460128319958, 0.05948683105349728, -0.012629926049161995]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.012246485230345206, -0.002608741040639478, 0.052599722657318375]","[-0.012256558748076771, 0.07261887634397372, -0.012645100850263307]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.044895659442350966, 0.005070421513339816, 0.052599722657318375]","[-0.04490572747770396, 0.06493971622481241, -0.012625216561073788]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[-0.025250776290008253, 0.01686019872350356, 0.052599722657318375]","[0.025240678537128695, 0.05314994275281168, -0.012690464553039446]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.04869592432943674, 0.006571440289686397, 0.05270895130836147]","[-0.04870590513003228, 0.0634386109426987, -0.012514157027825016]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[-0.01315306362990562, 0.00538639900244008, 0.052599722657318375]","[0.013142976988777727, 0.06462373883589853, -0.012671693931014964]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.05240882598787327, 0.010569565133605466, 0.05260093126720657]","[-0.0524188941657985, 0.05944057338570182, -0.012622404130312128]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.03838662479579164, 0.011068612007322428, 0.052739999952448845]","[-0.03839658699210061, 0.05894141592610804, -0.012494899190840323]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[-0.0006976492751404341, 0.03756392852347467, 0.052599722657318375]","[0.0006875461782906404, 0.0324462195173342, -0.012687399169989516]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.04559470091107774, 0.013971766923833534, 0.052599722657318375]","[-0.04560477436945256, 0.056038373636651956, -0.012631748272544667]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.0339250789636854, 0.0103233437562483, 0.052739999952448845]","[-0.03393504210200692, 0.05968668394088133, -0.01249785856213077]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.034023808854348005, 0.013093041911524298, 0.052739999952448845]","[-0.03403377371773137, 0.056916986663788444, -0.012499985524804082]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.00021698682737588293, 0.013136152302069402, 0.052599722657318375]","[-0.00022707414368575152, 0.05687398799346928, -0.012667218336309332]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.022151867129868358, -0.006538034724344037, 0.052599722657318375]","[-0.02216193501521117, 0.07654816878182434, -0.012634083929554162]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.047200109275258084, 0.01374594506189235, 0.05260112168937587]","[-0.04721018096732096, 0.056264194312905635, -0.012628890983888807]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.039776857440369476, 0.01238368790115358, 0.052599722657318375]","[-0.03978693173633881, 0.05762645215580261, -0.012635116547355716]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[-0.03715726926408819, 0.01525755528999235, 0.052599722657318375]","[0.03714716875233302, 0.054752585678175675, -0.012698669784056628]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[-0.028611041584887222, -0.006243075486021905, 0.052599722657318375]","[0.028600957417197734, 0.07625320963702438, -0.012674742673523814]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.027731601319811346, 0.010495647390208262, 0.052599722657318375]","[-0.027741678237673043, 0.05951449206811038, -0.01264320500992904]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.041630296455059085, 0.0024556715475436185, 0.052599722657318375]","[-0.04164036386764704, 0.06755446536155464, -0.012625734662261353]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
"[0.037327722229368046, 0.013325963174402926, 0.052599722657318375]","[-0.03733779789941107, 0.056684177181318754, -0.012637817217873472]","[-1.57, 0.0, -1.57]",CubeM,normal,TRUE,TRUE,easy
