obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,controller_a_success,difficulty
"[-0.009260565746889897, -0.007663921572105692, 0.03496019214827505]","[-0.002881582330861535, 0.07014998629714064, -0.06138213388466012]","[-1.73801623, 0.07885972, -1.60447237]",Cone2M,normal,TRUE,TRUE,easy
"[0.005842943581532295, 0.020758867584656462, 0.03496019214827505]","[-0.0051767678846352935, 0.04601343871024424, -0.04417542485071696]","[-1.64752149, 0.04537175, -1.74916488]",Cone2M,normal,TRUE,TRUE,easy
"[0.01832383095356292, 0.0187452217408881, 0.03496019214827505]","[0.000819644802918542, 0.05104777498128482, -0.03644709247984707]","[-1.60815057, -0.12064166, -1.56403946]",Cone2M,normal,TRUE,TRUE,easy
"[0.0061869738855789115, 0.02810301891591778, 0.03496019214827505]","[-0.013150255034328411, 0.044389548447252, -0.0053377460743789604]","[-1.39851509, 0.04813657, -1.67437802]",Cone2M,normal,TRUE,TRUE,easy
"[0.04480314915729634, -0.009481907552339618, 0.03496019214827505]","[-0.018749594126125403, 0.08177527833763379, -0.04132786837913249]","[-1.6252199, -0.13021171, -1.60304025]",Cone2M,normal,TRUE,TRUE,easy
"[0.028030988238618198, 0.006320130142721838, 0.03496019214827505]","[-0.01935400721060493, 0.06093772427012182, -0.04777794704220993]","[-1.6536437, -0.01387619, -1.70698611]",Cone2M,normal,TRUE,TRUE,easy
"[0.049212468874753626, 0.008187443554323003, 0.03496019214827505]","[-0.046060455568717434, 0.06029492417903452, -0.04178608355489357]","[-1.62075241, -0.00443808, -1.63012738]",Cone2M,normal,TRUE,TRUE,easy
"[0.019009828701681133, 0.011932408360853412, 0.03496019214827505]","[-0.0085582841910648, 0.05817274300061759, -0.034341740376010704]","[-1.59891662, -0.08884363, -1.44279823]",Cone2M,normal,TRUE,TRUE,easy
"[0.013925969312231388, -0.009711837561896863, 0.03496019214827505]","[0.021121785505797117, 0.07629781166682892, -0.04425032632246361]","[-1.65967807, -0.14656152, -1.73881506]",Cone2M,normal,TRUE,TRUE,easy
"[-0.016301093806287362, 0.010845434921510955, 0.03496019214827505]","[0.04860277580204885, 0.04818811012994931, -0.04919213805147011]","[-1.71602891, -0.16240736, -1.68945446]",Cone2M,normal,TRUE,TRUE,easy
"[-0.026128394358346674, 0.0033358593500340157, 0.03496019214827505]","[0.025019606352257858, 0.0625226991165806, -0.049289259204151496]","[-1.67240709, -0.00535997, -1.52907822]",Cone2M,normal,TRUE,TRUE,easy
"[0.02832282563443504, -0.0018925067287543715, 0.03496019214827505]","[-0.02059087066993251, 0.072826096601146, -0.031052903321284294]","[-1.58366177, -0.05820435, -1.48082738]",Cone2M,normal,TRUE,TRUE,easy
"[-0.023449290668832657, 0.007505430437031297, 0.03496019214827505]","[0.029924778067832825, 0.059535355361265044, -0.039913639319857884]","[-1.65546785, 0.01032349, -1.76409227]",Cone2M,normal,TRUE,TRUE,easy
"[-0.024312774713996167, -0.003065594156191913, 0.03496019214827505]","[0.02403355777976718, 0.07082316966697745, -0.041905537726380476]","[-1.64413606, 0.02145723, -1.65468389]",Cone2M,normal,TRUE,TRUE,easy
"[0.03583739577911378, 0.018297333490502096, 0.03496019214827505]","[-0.02473425526491417, 0.05182278803355945, -0.039500064355598434]","[-1.61218428, -0.04740254, -1.66124841]",Cone2M,normal,TRUE,TRUE,easy
"[-0.0007748736183041279, 0.006339234057432905, 0.03496019214827505]","[-0.002243170585102051, 0.06284621603995949, -0.034704434087406144]","[-1.59124679, 0.04715368, -1.72010469]",Cone2M,normal,TRUE,TRUE,easy
"[-0.020818615139327843, -0.005413690619929739, 0.03496019214827505]","[0.007206349123652053, 0.07433865693041534, -0.0412984430828945]","[-1.63101167, 0.08259084, -1.60883864]",Cone2M,normal,TRUE,TRUE,easy
