obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,controller_a_success,difficulty
"[0.04763822472366039, 0.010878722440584349, 0.054980000121842634]","[-0.0010114484584275163, 0.06321783122708388, -0.031217675964317206]","[-1.69400032, -0.2635066, -1.62209006]",CylinderM,normal,True,True,easy
"[-0.010517623835510147, 0.016068506143058797, 0.054980000121842634]","[0.03998353287192707, 0.04950204879872984, -0.007290062747436402]","[-1.57529211, -0.17619731, -1.66853253]",CylinderM,normal,True,True,easy
"[-0.03932399891318875, 0.00415944537210146, 0.054980000121842634]","[0.049963017205594026, 0.05892728830362798, -0.03926986271848544]","[-1.73473841, -0.06376454, -1.56498781]",CylinderM,normal,True,True,easy
"[0.043333531191052876, 0.004444872514482867, 0.054980000121842634]","[-0.00537337865545328, 0.07074871433357276, -0.010344234045522345]","[-1.56384723, -0.20232698, -1.75293757]",CylinderM,normal,True,True,easy
"[-0.02589774248476607, 0.011689941439383499, 0.054980000121842634]","[0.030966328947177893, 0.05397135366365223, -0.03552501829965569]","[-1.71671075, -0.03587635, -1.5470923]",CylinderM,normal,True,True,easy
"[0.004749032725673095, 0.03153099074665938, 0.054980000121842634]","[0.006731632558041564, 0.03755650405474705, -0.018866362982932622]","[-1.62370478, -0.08794066, -1.48945406]",CylinderM,normal,True,True,easy
"[-0.008181116800482818, 0.007032446824110155, 0.054980000121842634]","[0.037314536799118204, 0.05846245282872534, -0.0179250900029807]","[-1.63002025, -0.16235897, -1.6449293]",CylinderM,normal,True,True,easy
"[-0.015038350240833217, -0.005713978368138375, 0.054980000121842634]","[0.03598076980830146, 0.0725721886917565, -0.014042444838837799]","[-1.60615728, -0.10676779, -1.65385577]",CylinderM,normal,True,True,easy
"[0.04439706322593584, -0.0005572526692619656, 0.054980000121842634]","[-0.03883110152614478, 0.0689803669853612, -0.03374567972455016]","[-1.70608265, -0.0358778, -1.54654756]",CylinderM,normal,True,True,easy
"[-0.03447551850717836, -0.0012355317709227985, 0.054980000121842634]","[0.0388196821901742, 0.07018925152212983, -0.012973883791573444]","[-1.59923465, -0.01871148, -1.63846668]",CylinderM,normal,True,True,easy
"[0.0024386234955266657, 0.036537859577095926, 0.054980000121842634]","[-0.011545324829496488, 0.02835904450723218, -0.037674783268944384]","[-1.76224892, 0.06904632, -1.58322958]",CylinderM,normal,True,True,easy
"[0.03999916893483865, 0.011160667317098126, 0.054980000121842634]","[-0.01654488709026304, 0.059337418316457884, -0.03558561005285105]","[-1.72416405, -0.14670083, -1.53918168]",CylinderM,normal,True,True,easy
"[-0.02700564944200614, -0.00872811260410827, 0.054980000121842634]","[0.03575885391327699, 0.07216850678461159, -0.04463318820147323]","[-1.74649149, -0.05688058, -1.53294101]",CylinderM,normal,True,True,easy
"[0.011117854021205732, -0.004317663326142441, 0.054980000121842634]","[0.0083255837882388, 0.06919611531053764, -0.0449957887107709]","[-1.76183248, -0.10082588, -1.60118751]",CylinderM,normal,True,True,easy
"[0.022064866301975926, 0.002914372261064107, 0.054980000121842634]","[-0.012299331804706591, 0.06755195696286533, -0.016696804780927603]","[-1.59323877, -0.04025553, -1.73972603]",CylinderM,normal,True,True,easy
"[-0.010445013922857302, 0.027761654684174207, 0.054966746644977665]","[0.02539447419704633, 0.03916720105901353, -0.022332301368080402]","[-1.66509786, -0.08421851, -1.66932117]",CylinderM,normal,True,True,easy
"[-0.030214422291819514, 0.0028590515363535103, 0.05498000006092132]","[0.035010793589967115, 0.064398022887367, -0.02756768544758854]","[-1.70588224, 0.00932547, -1.77803594]",CylinderM,normal,True,True,easy
"[0.05241799560620178, -0.003160501229619534, 0.054980000121842634]","[-0.00297729150668833, 0.0756123526370093, -0.044081539847840426]","[-1.75660893, -0.269995, -1.57175693]",CylinderM,normal,True,True,easy
"[-0.0018238398605286248, 0.0013577451923812928, 0.054980000121842634]","[-0.0005411534952049688, 0.06694116147682926, -0.026767340550997592]","[-1.66263333, 0.00544964, -1.51846972]",CylinderM,normal,True,True,easy
"[-0.04617526232843834, 0.010286257668988507, 0.05498000006092132]","[0.04251585915657577, 0.058111935692621214, -0.03121320848111677]","[-1.70563878, 0.03071942, -1.61693067]",CylinderM,normal,True,True,easy
"[-0.010514977107228592, -0.0063434907145171375, 0.054980000121842634]","[0.03470614698385539, 0.07098580346170352, -0.03134740786020944]","[-1.67929585, -0.13622139, -1.54769231]",CylinderM,normal,True,True,easy
"[0.027457674232684144, 0.0015175363433367053, 0.054980000121842634]","[0.009683256687809297, 0.062196115637662856, -0.05452726294157602]","[-1.82568455, -0.1931883, -1.64329276]",CylinderM,normal,True,True,easy
"[-0.0010017861982441582, 0.012368509981983076, 0.054980000121842634]","[0.019267817762089443, 0.056305456236464074, -0.013458931732374823]","[-1.59111253, -0.10781786, -1.58983217]",CylinderM,normal,True,True,easy
"[0.012214830449343411, 0.01781989090321575, 0.05501276520049843]","[0.04024540987606187, 0.04723608836636333, -0.01471747313515396]","[-1.59701203, -0.32608182, -1.56874398]",CylinderM,normal,True,True,easy
"[0.03860222600611864, 0.018165090712439973, 0.05498000006092132]","[1.7144158138013288e-05, 0.05614968470144561, -0.013547254155683537]","[-1.58899763, -0.22107972, -1.73686091]",CylinderM,normal,True,True,easy
"[0.00047555888703646273, 0.029496726090045278, 0.054980000121842634]","[-0.000995840639510388, 0.03860567124835703, -0.025988474090962232]","[-1.67491316, -0.0055504, -1.51906684]",CylinderM,normal,True,True,easy
"[-0.010010465762639736, 0.012808227756657407, 0.054980000121842634]","[0.030927050467050823, 0.053471033650825714, -0.02196845999733744]","[-1.64241365, -0.12510326, -1.58341251]",CylinderM,normal,True,True,easy
"[0.04098516492188872, -0.006844908847343463, 0.054980000121842634]","[-0.014786411412358091, 0.07796331959174621, -0.03391950219125945]","[-1.69380477, -0.13300708, -1.61291313]",CylinderM,normal,True,True,easy
"[-0.011874464326504724, -0.004586126008093762, 0.054980000121842634]","[0.014014335111582971, 0.0729025304866543, -0.025920647525415685]","[-1.65530522, -0.01126079, -1.57385713]",CylinderM,normal,True,True,easy
"[-0.007781487356012109, 0.03091586302493999, 0.054980000121842634]","[0.010946863087576968, 0.03780021471917288, -0.020747784412781415]","[-1.64609336, -0.00917748, -1.65614886]",CylinderM,normal,True,True,easy
"[0.03048898804657197, 0.007789039981470651, 0.054980000121842634]","[-0.003905109914656174, 0.06251682025133269, -0.030289707608231107]","[-1.68102974, -0.12757622, -1.72835987]",CylinderM,normal,True,True,easy
"[-0.028591396630185856, 0.02206242342782618, 0.05498000006092132]","[0.0324499288354248, 0.045072162274410396, -0.027747955953566567]","[-1.70140707, -0.00561846, -1.67256208]",CylinderM,normal,True,True,easy
"[-0.026185766184001168, 0.023005850949823235, 0.054980000121842634]","[0.03186385989094191, 0.045421108343113595, -0.01644405966729797]","[-1.62649848, -0.02652502, -1.6575886]",CylinderM,normal,True,True,easy
"[-0.04585304955631939, 0.011628150066433933, 0.054980000121842634]","[0.03785380198769881, 0.057632361801302066, -0.032041213352802515]","[-1.7322312, 0.07958291, -1.72108648]",CylinderM,normal,True,True,easy
"[-0.0011022320749999835, 0.02288494957919053, 0.054980000121842634]","[0.023250122215687105, 0.04114225344721681, -0.03755504522157251]","[-1.75621783, -0.12654805, -1.6465652]",CylinderM,normal,True,True,easy
"[0.033116198006476166, 0.0002241199159054357, 0.054980000121842634]","[-0.02045709773958586, 0.06846938008469874, -0.03542334755683088]","[-1.69103518, -0.04227994, -1.72313391]",CylinderM,normal,True,True,easy
"[-0.028056575044912456, 0.014817753132567666, 0.054980000121842634]","[0.03866604360944294, 0.051619325401953714, -0.02377084788338461]","[-1.66026057, -0.05985666, -1.60651593]",CylinderM,normal,True,True,easy
"[0.00350667781447327, 0.01159548157475551, 0.054980000121842634]","[0.020831309563747256, 0.056883915557290436, -0.014027483128498594]","[-1.60362698, -0.13663296, -1.66589892]",CylinderM,normal,True,True,easy
"[-0.0039037493807081995, 0.035032980860502896, 0.05496921496007135]","[0.017280241344528092, 0.03226245409499902, -0.024541079599541892]","[-1.66855185, -0.09374327, -1.57014118]",CylinderM,normal,True,True,easy
"[0.03433706213177934, 0.009868636566639903, 0.054980000121842634]","[-0.013599809667496774, 0.05692014673925527, -0.0467439926252548]","[-1.78212141, -0.10888388, -1.6289699]",CylinderM,normal,True,True,easy
"[0.018752449210421247, 0.010072081495115444, 0.054980000121842634]","[0.00960591263409644, 0.05641953764439993, -0.03934453162693863]","[-1.74960818, -0.12109498, -1.77665234]",CylinderM,normal,True,True,easy
"[0.03281980348882101, 0.017195708294544084, 0.05498000006092132]","[-0.008285667649870015, 0.05407731458833818, -0.02647519304114333]","[-1.66551629, -0.13848497, -1.64666046]",CylinderM,normal,True,True,easy
"[0.03841334246365674, 0.013400324703832444, 0.054980000121842634]","[-0.014843646931497971, 0.05991226185550187, -0.015782981416697414]","[-1.61553415, -0.15538444, -1.41783246]",CylinderM,normal,True,True,easy
"[-0.014396626826767286, -0.007343556839950884, 0.054980000121842634]","[0.03650534570742059, 0.07416932096355347, -0.012746313251259501]","[-1.60166737, -0.11151861, -1.66710539]",CylinderM,normal,True,True,easy
"[0.023867370899022418, 0.01206955551548544, 0.054980000121842634]","[0.018742587350068826, 0.056839897340142685, -0.026306388022961452]","[-1.66867626, -0.25052489, -1.59658388]",CylinderM,normal,True,True,easy
"[0.0313694928994327, -0.0011458906496625474, 0.05498000006092132]","[-0.0018188715567244926, 0.07163458508694837, -0.030199741543756656]","[-1.67708794, -0.13848969, -1.72230802]",CylinderM,normal,True,True,easy
"[-0.0044228936217681585, 0.009900047418668895, 0.054980000121842634]","[0.014439416222647014, 0.05960750013162954, -0.009323701618446116]","[-1.56726442, -0.05699397, -1.60550501]",CylinderM,normal,True,True,easy
"[-0.010963844460452756, 0.010752043870134105, 0.054980000121842634]","[0.012443497488327893, 0.05466125895175833, -0.04006846774747905]","[-1.74114344, -0.02793056, -1.49175539]",CylinderM,normal,True,True,easy
"[-0.011883893509529727, -2.2577592500306024e-05, 0.054980000121842634]","[0.017253049808914636, 0.0695116722854857, -0.01165433614642706]","[-1.58935935, -0.02082652, -1.69869498]",CylinderM,normal,True,True,easy
"[0.047746842736690276, 0.0005917246789028325, 0.054980000121842634]","[-0.0077316422966950335, 0.07394282014094591, -0.02609458312495512]","[-1.65539336, -0.21118755, -1.63528887]",CylinderM,normal,True,True,easy
"[0.04010826625556982, 0.0029087154516553365, 0.054980000121842634]","[0.006407478423690625, 0.07051674128927796, -0.02124200595567838]","[-1.63398349, -0.25247828, -1.62956116]",CylinderM,normal,True,True,easy
"[0.013698895418149535, -0.005963640601242728, 0.054980000121842634]","[0.015834957601257416, 0.07502682241013735, -0.01982525826768073]","[-1.61817869, -0.16311777, -1.53322134]",CylinderM,normal,True,True,easy
