obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,position-dependent_success,difficulty
"[-0.021357335718111492, 0.032974691767490245, 0.04792173821159805]","[0.0040002242936434534, 0.039523412643632565, -0.002194074289316743]",[-1.46790945  0.11687365 -1.59380684],CubeS,normal,True,True,easy
"[0.04006403542253156, 0.0007219645773617368, 0.04795333434656706]","[-0.05452051432080617, 0.06628685029906178, -0.0007661537653974033]",[-1.49591584  0.0803007  -1.51168184],CubeS,normal,True,False,med
"[0.0027790354225314335, 0.03101296457736179, 0.04795333434656723]","[-0.018958240060616353, 0.03827172480376799, 0.01285794158676003]",[-1.38807682  0.11981715 -1.42248574],CubeS,normal,True,True,easy
"[-0.01479596457746856, 0.03608396457736179, 0.04795333434656723]","[-0.007225133627719649, 0.03545109211827201, -0.005187408566324002]",[-1.48762035  0.1501775  -1.5368286 ],CubeS,normal,True,True,easy
"[-0.027112964577468573, 0.039103964577361795, 0.04795333434656724]","[0.0016508777215372972, 0.03358721934984178, -0.016467447602710135]",[-1.56261088  0.1696885  -1.49418663],CubeS,normal,True,True,easy
"[-0.041465964577468484, 0.015714964577361785, 0.047953334346567206]","[0.000531587978852055, 0.059342921542682815, -0.018332418339912192]",[-1.57573954  0.23716288 -1.50543062],CubeS,normal,True,True,easy
"[-0.05363296457746844, 0.0056389645773617415, 0.04795333434656706]","[0.05115354426561876, 0.06592190424997417, -0.004177345996378916]",[-1.49346528  0.01400905 -1.56585323],CubeS,normal,True,True,easy
"[-0.00377496457746857, 0.009146964577361794, 0.047953334346567233]","[-0.017528719218894564, 0.06050371473111821, 0.011429062890179812]",[-1.39690022  0.12066864 -1.62592972],CubeS,normal,True,True,easy
"[0.022091035422531644, 0.027021964577361654, 0.047953334346566776]","[-0.02864967555818172, 0.04162676583945716, 0.01957547653850548]",[-1.32443855  0.03934987 -1.5994185 ],CubeS,normal,True,True,easy
"[-0.02578496457746857, 0.029201964577361794, 0.047953334346567233]","[0.013270897607300366, 0.04241971434537914, -0.017361220682336895]",[-1.56673554  0.0781143  -1.5320532 ],CubeS,normal,True,True,easy
"[0.012738035422531513, 0.001264964577361786, 0.04795333434656719]","[-0.04334008173890808, 0.06407094424605371, -0.01529052845823542]",[-1.57514395  0.16661321 -1.50223877],CubeS,normal,True,False,med
"[-0.05095896457746844, 0.006584964577361741, 0.04795333434656707]","[0.038644126387224656, 0.06295538672291012, -0.039585886666362036]",[-1.6679447   0.04340672 -1.43947697],CubeS,normal,True,True,easy
"[-0.0421013210351807, 0.01307835370247172, 0.04790674463113574]","[0.026201620189891042, 0.060686816433553364, -0.010993498723696963]",[-1.49027217  0.08250713 -1.31512445],CubeS,normal,True,True,easy
"[0.0188078896620236, 0.01195921541588184, 0.047919839132012185]","[-0.034497682048321245, 0.05582483982296055, 0.014457885465654807]",[-1.38989794  0.09715748 -1.52997119],CubeS,normal,True,False,med
"[0.06094403542253156, 0.00017996457736173968, 0.04795333434656706]","[-0.06924585095850812, 0.06764746833471898, -0.00044255474397821015]",[-1.5380978   0.04096048 -1.40948546],CubeS,normal,False,False,hard
"[-0.01680996457746841, 0.011321964577361886, 0.04795333434656731]","[-0.00630827412163389, 0.06028937077547066, 0.000988212557987215]",[-1.4640774   0.13610811 -1.51259211],CubeS,normal,True,True,easy
"[-0.0049149645774684125, 0.015409964577361884, 0.04795333434656732]","[0.0049125224404760045, 0.055510429205658, 0.0007666335998307307]",[-1.45374913  0.00191942 -1.33489516],CubeS,normal,True,True,easy
"[-0.01470796457746835, 0.02691196457736165, 0.047953334346566776]","[-0.01376147116460313, 0.044161573834380526, 0.0012198435515894156]",[-1.46581162  0.18415067 -1.38755131],CubeS,normal,True,True,easy
"[-0.016612964577468567, 0.011727964577361793, 0.04795333434656722]","[0.010029434030203196, 0.05881817092972218, 0.017195646446975913]",[-1.36019842  0.0495979  -1.47029344],CubeS,normal,True,True,easy
"[0.05937503542253164, 0.0009409645773616489, 0.04795333434656678]","[-0.07229493623778399, 0.06414662487553563, 0.018393324309907713]",[-1.46636092  0.08587575 -1.33928368],CubeS,normal,False,False,hard
"[0.013313035422531514, 0.007990964577361781, 0.04795333434656722]","[-0.010232682498574789, 0.06293916334745168, 0.007487944389312435]",[-1.43810114 -0.01082405 -1.38462937],CubeS,normal,True,True,easy
"[0.03672003542253152, 0.024321964577361792, 0.047953334346567206]","[-0.03846684108078182, 0.04558658292920609, -0.0141956051856195]",[-1.5595213   0.00745996 -1.53164631],CubeS,normal,True,True,easy
"[0.027935035422531552, 0.0005569645773617429, 0.04795333434656706]","[-0.05438704541908571, 0.06406123449816228, -0.005412138554124015]",[-1.53499094  0.14437485 -1.46711631],CubeS,normal,True,False,med
"[-0.029052964577468574, 0.028088964577361795, 0.04795333434656725]","[-0.007631012079583985, 0.045309286541415306, -0.006798289856879336]",[-1.50037184  0.23751165 -1.581788  ],CubeS,normal,True,True,easy
"[-0.005162964577468568, 0.022080964577361792, 0.04795333434656725]","[0.003041031404635513, 0.048820222282765655, -0.0060293628615507786]",[-1.49658388  0.00961017 -1.46919858],CubeS,normal,True,True,easy
"[0.02516103542253158, 0.01134696457736188, 0.04795333434656732]","[-0.03776395796147311, 0.05627739191425752, 0.017522060966184298]",[-1.40407311  0.08965476 -1.39838476],CubeS,normal,True,True,easy
"[-0.02089096457746841, 0.014442964577361883, 0.04795333434656731]","[0.015955885881263968, 0.05364916052787553, -0.03338131941068323]",[-1.64498168 -0.0074153  -1.3763559 ],CubeS,normal,True,True,easy
"[-0.03685596457746835, 0.01260196457736165, 0.04795333434656677]","[0.006095871663972768, 0.062039003484391675, -0.0070902862756739415]",[-1.50858841  0.17978326 -1.5571029 ],CubeS,normal,True,True,easy
"[-0.017611981426219336, 0.014234246499808813, 0.047895018095673036]","[0.015117976942236027, 0.05653126340118218, 0.011561850971818758]",[-1.39079148  0.01936183 -1.51023837],CubeS,normal,True,True,easy
"[-0.058312964577468346, 0.0025209645773616508, 0.04795333434656679]","[0.03025500514997894, 0.07426811261922366, 0.018261799744541184]",[-1.35486242  0.16499339 -1.47805767],CubeS,normal,True,True,easy
