local_obj_coords,global_obj_coords,local_to_global_obj_coords,local_wrist_coords,global_wrist_coords,local_to_global_wrist_coords,global_to_local_transf,shape,orientation,hand_orient_variation,local_finger_coords,global_finger_coords,local_to_global_finger_coords,local_coord_region,total_episode_reward,success,coords_file,coords_file_idx
"[-0.023491038387655545, 0.12119427391285442, 0.04055655089762045]","[0.03153838924025582, -0.05268745757781024, 0.054977858709712786]","[0.03153838924025582, -0.05268745757781022, 0.05497785870971278]","[0.0, 0.0, -1.734723475976807e-18]","[0.0006466657260789928, 0.0730095179290057, 0.043546039026559166]","[0.000646665726078994, 0.0730095179290057, 0.04354603902655917]","[[-0.98705075 -0.04160527  0.15491877 -0.00307023]
 [ 0.00999983 -0.97985907 -0.19943975  0.08021738]
 [ 0.16009631 -0.19530799  0.96758667 -0.02797875]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.37422802 -0.01424983 -1.41561518],"[-0.0523288546124874, 0.011572642650529014, 0.007361464068196618, 0.047394131607705184, 0.011722643605281927, 0.02628170448444683, 0.047394005474449295, 0.011722643605798513, -0.02599042695286253, -0.08040151343008645, 0.033825932516069454, 0.013379397051370834, 0.0756164236058272, 0.0339759347703708, 0.03155350370421781, 0.07561641576012679, 0.03397593477040293, -0.03126159288928382]","[0.05359216843544271, 0.062409362605862384, 0.04025412678941908, -0.04180891895693674, 0.0544181066499853, 0.07398014539474948, -0.050177369628087484, 0.06462727686502918, 0.023402308332454772, 0.0824872853079475, 0.04059689499443841, 0.037289826206831043, -0.06859922855338205, 0.030409196881020967, 0.07901504000649673, -0.07865568576043072, 0.042677487517264516, 0.018235988735861887]","[0.05359216843544271, 0.06240936260586238, 0.04025412678941909, -0.04180891895693674, 0.054418106649985296, 0.0739801453947495, -0.050177369628087484, 0.0646272768650292, 0.023402308332454776, 0.0824872853079475, 0.04059689499443841, 0.03728982620683105, -0.06859922855338205, 0.030409196881020964, 0.07901504000649674, -0.07865568576043072, 0.042677487517264516, 0.018235988735861897]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[-0.08606604556196615, 0.09692081308185113, 0.09100313327547005]","[0.08817790611896953, -0.04750784373373644, 0.054950190982443976]","[0.08817790611896952, -0.04750784373373643, 0.05495019098244399]","[-1.734723475976807e-18, 0.0, 0.0]","[-0.005677135254980233, 0.07816420856148254, 0.03303341764154257]","[-0.005677135254980232, 0.07816420856148254, 0.03303341764154257]","[[-0.92524241  0.05920346  0.37472848 -0.02225888]
 [-0.17115318 -0.9466574  -0.2730318   0.08204224]
 [ 0.33857506 -0.31675657  0.88602043 -0.00258712]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.29934647  0.17227834 -1.22750572],"[-0.03899638246458674, 0.014560880424585261, 0.0055579213330490245, 0.06072660375560586, 0.014710881379338216, 0.02447816174929926, 0.06072647762234998, 0.014710881379854782, -0.027793969688010112, -0.0670690412821858, 0.03681417029012571, 0.011575854316223228, 0.08894889575372786, 0.036964172544427104, 0.029749960969070226, 0.08894888790802746, 0.03696417254445921, -0.033065135624431405]","[0.02979360424993934, 0.060310814684575775, 0.01936921112751746, -0.05609408362065659, 0.06007965017606974, 0.07346101839609515, -0.07379200684416401, 0.07663718376899292, 0.027146794663970335, 0.053996419489889674, 0.03567635499819328, 0.008105742268418752, -0.08423036691756025, 0.039014387694983096, 0.0826317805867948, -0.10549798462370479, 0.05891148177195557, 0.02697631864056354]","[0.029793604249939338, 0.06031081468457578, 0.019369211127517463, -0.0560940836206566, 0.06007965017606975, 0.07346101839609515, -0.07379200684416402, 0.07663718376899291, 0.027146794663970346, 0.053996419489889674, 0.035676354998193285, 0.008105742268418752, -0.08423036691756024, 0.0390143876949831, 0.0826317805867948, -0.1054979846237048, 0.05891148177195556, 0.026976318640563556]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[-0.019014026402520832, 0.05665375353503402, -0.0026198584358874083]","[0.014968130522265909, 0.014672802920183227, 0.054983153641990745]","[0.01496813052226591, 0.01467280292018324, 0.05498315364199074]","[0.0, 0.0, -2.6020852139652106e-18]","[0.001082186656927572, 0.07268517718426507, 0.05943170880979499]","[0.0010821866569275735, 0.07268517718426508, 0.05943170880979499]","[[-0.99181179  0.09674867 -0.08336109 -0.00100458]
 [-0.09187027 -0.99393127 -0.06050193  0.07593922]
 [-0.08870867 -0.05234812  0.99468108 -0.05521466]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.51018159  0.09249235 -1.66143744],"[-0.04094299861155806, 0.01384802108641394, 0.007630303832330461, 0.05877998760863453, 0.013998022041166937, 0.026550544248580693, 0.05877986147537868, 0.013998022041683517, -0.025721587188728665, -0.06901565742915713, 0.03610131095195435, 0.013648236815504672, 0.08700227960675655, 0.03625131320625583, 0.03182234346835167, 0.08700227176105614, 0.03625131320628793, -0.03099275312514996]","[0.03974083972721672, 0.05456058331324303, 0.0695966485386385, -0.06085776366032786, 0.06306911976975071, 0.0800941616827905, -0.05622064712985477, 0.06580545550015661, 0.028100072191112966, 0.06500537500250604, 0.02941132279866597, 0.0765763729753666, -0.0913610358289578, 0.04340537821178716, 0.08163891255822829, -0.08578878416583802, 0.04669362981720358, 0.019157925267426483]","[0.039740839727216724, 0.05456058331324304, 0.0695966485386385, -0.06085776366032784, 0.06306911976975073, 0.08009416168279049, -0.05622064712985478, 0.06580545550015662, 0.02810007219111296, 0.06500537500250604, 0.029411322798665984, 0.07657637297536658, -0.0913610358289578, 0.043405378211787166, 0.0816389125582283, -0.085788784165838, 0.04669362981720361, 0.019157925267426476]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[0.08726933544658116, 0.09670060664006111, 0.03422914519594766]","[-0.08221974996801021, -0.029542112174317566, 0.054965790740576705]","[-0.0822197499680102, -0.02954211217431757, 0.054965790740576705]","[0.0, 0.0, 0.0]","[-0.0016055038593084806, 0.07603144370949633, 0.03273639045487631]","[-0.0016055038593084806, 0.07603144370949633, 0.03273639045487631]","[[-0.97525456 -0.03600278  0.21813377 -0.00596934]
 [-0.03099504 -0.95464197 -0.29613852  0.08222755]
 [ 0.21890146 -0.29557151  0.92990302 -0.00761749]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.27239407  0.03145814 -1.35785445],"[-0.05008526261029833, 0.011797788858615488, 0.007210781184506864, 0.049637723609894296, 0.011947789813368415, 0.02613102160075711, 0.04963759747663837, 0.011947789813885015, -0.026141109836552254, -0.07815792142789739, 0.03405107872415592, 0.013228714167681076, 0.07786001560801631, 0.0342010809784573, 0.03140282082052808, 0.07786000776231584, 0.03420108097848944, -0.03141227577297355]","[0.04845315457492879, 0.06444068651584246, 0.02502265067264452, -0.04466512348391422, 0.05511490072726238, 0.06432516953784419, -0.05610744650756451, 0.07056505794976814, 0.015717128941276706, 0.07645873593972294, 0.0424287263197872, 0.017905093432534918, -0.07172477943643606, 0.03129670051642272, 0.0687936098436523, -0.08547508831556302, 0.04986305358397113, 0.010381659871487021]","[0.04845315457492878, 0.06444068651584246, 0.025022650672644517, -0.04466512348391423, 0.055114900727262384, 0.06432516953784419, -0.05610744650756451, 0.07056505794976814, 0.01571712894127671, 0.07645873593972294, 0.042428726319787204, 0.017905093432534915, -0.07172477943643604, 0.03129670051642273, 0.06879360984365229, -0.08547508831556302, 0.04986305358397114, 0.010381659871487016]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[-0.06682342954006872, 0.13804267470420295, 0.10705319056138743]","[0.08264575758385703, -0.08402749510494184, 0.05494136960893797]","[0.08264575758385703, -0.08402749510494184, 0.05494136960893797]","[0.0, 0.0, 0.0]","[0.000931658550232506, 0.08052207986993876, 0.01990168098205666]","[0.0009316585502325043, 0.08052207986993877, 0.019901680982056663]","[[-0.99508425 -0.07404995  0.06575674  0.00558107]
 [ 0.03998933 -0.90790669 -0.41726047  0.08137346]
 [ 0.0905991  -0.41257975  0.90640485  0.01509839]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.14781987 -0.041176   -1.48024076],"[-0.05534880223832009, 0.011434676225203118, 0.007328401277836079, 0.04437418398187252, 0.011584677179956038, 0.02624864169408631, 0.04437405784861664, 0.011584677180472652, -0.026023489743223056, -0.08342146105591916, 0.03368796609074354, 0.013346334261010302, 0.07259647597999452, 0.03383796834504491, 0.03152044091385729, 0.0725964681342941, 0.03383796834507708, -0.031294655679644345]","[0.05712959132309178, 0.07121548681535637, 0.018133384441747405, -0.040383026105099695, 0.05588870980769754, 0.04177765070713464, -0.04511870848976891, 0.07745514232902875, -0.005602070964374333, 0.08649936539644493, 0.050607477776406076, 0.012456683405952058, -0.06709906971563867, 0.03141990107191082, 0.039126422091882974, -0.07279005292753318, 0.05733613881559091, -0.01780948653655632]","[0.057129591323091776, 0.07121548681535639, 0.0181333844417474, -0.0403830261050997, 0.055888709807697556, 0.04177765070713465, -0.04511870848976892, 0.07745514232902875, -0.00560207096437434, 0.08649936539644491, 0.05060747777640609, 0.01245668340595206, -0.06709906971563867, 0.03141990107191083, 0.03912642209188298, -0.07279005292753318, 0.05733613881559092, -0.01780948653655633]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[-0.06339009268033108, -0.3950776180680663, 0.04062067567427459]","[-0.05549918502961069, -0.11013811992269046, 0.054969188458775894]","[-0.05549918502961069, -0.11013811992269051, 0.054969188458775894]","[0.0, 0.0, 0.0]","[-0.0029912388364857112, 0.28840311815586467, 0.0677153478012911]","[-0.0029912388364857104, 0.2884031181558646, 0.0677153478012911]","[[ 0.99611954  0.02511851  0.08434996 -0.00997641]
 [-0.03521476  0.99209728  0.12042803 -0.29438411]
 [-0.08065839 -0.12293108  0.98913203 -0.03176698]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.45293904e+00 -9.46354437e-05 -1.49687104e+00],"[-0.051839960251303586, 0.012842644502932932, 0.018010146566815183, 0.04788302596888902, 0.012992645457685859, 0.03693038698306543, 0.04788289983563314, 0.0129926454582025, -0.015341744454243939, -0.07991261906890264, 0.035095934368473414, 0.024028079549989423, 0.07610531796701103, 0.0352459366227747, 0.04220218620283644, 0.07610531012131062, 0.03524593662280695, -0.02061291039066522]","[-0.056534956416782974, 0.2976281213831109, 0.08270367656677646, 0.04126970070578678, 0.2979559445161922, 0.1098479863848183, 0.0454857610517357, 0.3043818107755443, 0.058143936224395724, -0.08576772148615903, 0.31826061527147004, 0.08896819910760521, 0.06817361824672072, 0.32009420817743245, 0.12012296099963347, 0.07324017502183466, 0.3278161354714459, 0.05799053628144369]","[-0.056534956416782974, 0.29762812138311084, 0.08270367656677648, 0.04126970070578678, 0.2979559445161921, 0.1098479863848183, 0.0454857610517357, 0.30438181077554427, 0.05814393622439573, -0.08576772148615903, 0.31826061527147004, 0.08896819910760523, 0.06817361824672072, 0.32009420817743245, 0.12012296099963349, 0.07324017502183466, 0.3278161354714459, 0.0579905362814437]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[-0.048557954465280835, 0.0838965433339578, 0.03318401950999704]","[0.045242250014705804, -0.01728975125557019, 0.05497373852814474]","[0.04524225001470581, -0.017289751255570182, 0.05497373852814473]","[-8.673617379884035e-19, 0.0, 0.0]","[-0.00035500943418015005, 0.07393848389711667, 0.04517664111330517]","[-0.0003550094341801491, 0.07393848389711669, 0.04517664111330517]","[[-0.9866961   0.055513    0.15280415 -0.01135801]
 [-0.08290473 -0.9803144  -0.17919397  0.08054891]
 [ 0.13984851 -0.18947818  0.97187469 -0.02984666]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.39622864  0.08338353 -1.43641494],"[-0.0432736470157085, 0.01314628393825578, 0.006823363190096384, 0.056449339204484084, 0.013296284893008763, 0.025743603606346598, 0.05644921307122821, 0.013296284893525342, -0.02652852783096276, -0.07134630583330755, 0.03539957380379619, 0.012841296173270612, 0.08467163120260612, 0.03554957605809765, 0.03101540282611758, 0.08467162335690567, 0.035549576058129764, -0.03179969376738405]","[0.04220727741777855, 0.057355863856550525, 0.04283996758644314, -0.0535554727627697, 0.05915976565435476, 0.07643927702175207, -0.060865528059197635, 0.0690641868011756, 0.02563729617134793, 0.06890315633098867, 0.03284197871329891, 0.04041137034652195, -0.08250994821864767, 0.03791235714048069, 0.0818876329975099, -0.09129453820818391, 0.049814446667547904, 0.0208392292210276]","[0.042207277417778556, 0.057355863856550525, 0.04283996758644314, -0.0535554727627697, 0.05915976565435476, 0.07643927702175207, -0.060865528059197635, 0.06906418680117561, 0.025637296171347933, 0.06890315633098867, 0.03284197871329891, 0.04041137034652195, -0.08250994821864768, 0.037912357140480704, 0.08188763299750991, -0.09129453820818391, 0.04981444666754792, 0.020839229221027603]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[0.1068085653011178, 0.09237822754954174, 0.0013574787904785356]","[-0.09954741284450212, -0.02685619223767849, 0.05497260006513553]","[-0.09954741284450212, -0.026856192237678475, 0.054972600065135546]","[0.0, 0.0, 1.734723475976807e-18]","[0.0010667664156299205, 0.07200179795482708, 0.04807810933317107]","[0.0010667664156299224, 0.07200179795482708, 0.048078109333171075]","[[-0.97912424 -0.07061314  0.19060301 -0.00303506]
 [ 0.03998933 -0.98631053 -0.15997625  0.07866483]
 [ 0.19929018 -0.14901453  0.96854432 -0.03604906]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.41338911 -0.0416633  -1.37137541],"[-0.05518135756781441, 0.01143973776171596, 0.007686608821423583, 0.044541628652378214, 0.011589738716468928, 0.0266068492376738, 0.044541502519122304, 0.011589738716985522, -0.025665282199635566, -0.08325401638541348, 0.033693027627256386, 0.013704541804597799, 0.07276392065050023, 0.03384302988155783, 0.031878648457444765, 0.07276391280479978, 0.03384302988158995, -0.03093644813605686]","[0.057085504348141816, 0.06346977655413319, 0.04317511131929639, -0.03677907208842898, 0.05346068533481279, 0.08048370767073182, -0.047196271201786294, 0.061250001434286765, 0.029855807829336077, 0.0866613342703929, 0.04260666156595165, 0.040093015000383585, -0.062471690151383874, 0.028733590739579786, 0.08740893476221306, -0.0749901145329817, 0.03809395350361155, 0.026569728488799654]","[0.05708550434814182, 0.06346977655413319, 0.043175111319296404, -0.03677907208842898, 0.05346068533481279, 0.08048370767073183, -0.04719627120178629, 0.061250001434286765, 0.029855807829336084, 0.08666133427039288, 0.04260666156595165, 0.04009301500038359, -0.06247169015138389, 0.02873359073957979, 0.08740893476221306, -0.07499011453298168, 0.03809395350361155, 0.02656972848879966]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[-0.007201436590513009, 0.08525661811770226, 0.044427155197166196]","[0.0002918447809755331, -0.01803436579686989, 0.054969864697263414]","[0.00029184478097553433, -0.018034365796869886, 0.05496986469726343]","[0.0, 0.0, 0.0]","[0.0016011589960441205, 0.07640966701691446, 0.035658362867963964]","[0.0016011589960441203, 0.07640966701691444, 0.03565836286796396]","[[-0.9960563   0.08458081 -0.0267941  -0.00391251]
 [-0.07393248 -0.9582055  -0.27636246  0.08318917]
 [-0.04904922 -0.27329162  0.9606799  -0.01329562]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.29505779  0.07418656 -1.62485828],"[-0.04234166866884022, 0.013411330473085153, 0.0075558461841909, 0.05738131755135238, 0.013561331427838143, 0.026476086600441127, 0.05738119141809648, 0.013561331428354723, -0.025796044836868235, -0.07041432748643928, 0.03566462033862557, 0.013573779167365116, 0.08560360954947442, 0.03581462259292705, 0.031747885820212096, 0.08560360170377393, 0.035814622592959165, -0.031067210773289534]","[0.04241370374714222, 0.057912614291796644, 0.040345231087055164, -0.05785511835682637, 0.06103279045389583, 0.05580808311920064, -0.055291085548190025, 0.0753183152909629, 0.00559130065655144, 0.06843523671566788, 0.03257033068132727, 0.04072874600662068, -0.08786992889814889, 0.04065589030708467, 0.05396642927157722, -0.08478888971369382, 0.05782272918158645, -0.006378771040061059]","[0.04241370374714222, 0.057912614291796644, 0.040345231087055164, -0.057855118356826364, 0.061032790453895834, 0.05580808311920062, -0.05529108554819002, 0.0753183152909629, 0.005591300656551443, 0.06843523671566788, 0.03257033068132725, 0.04072874600662068, -0.08786992889814889, 0.04065589030708466, 0.053966429271577215, -0.0847888897136938, 0.05782272918158644, -0.006378771040061057]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[0.001541568945874372, 0.0840768614179, 0.04287671493618557]","[-0.01336244815310071, -0.013656709814081871, 0.05497346617274169]","[-0.013362448153100706, -0.013656709814081847, 0.05497346617274168]","[1.734723475976807e-18, 0.0, 0.0]","[-0.0014504701345150646, 0.07802578631402525, 0.03594368877459748]","[-0.001450470134515065, 0.07802578631402526, 0.03594368877459748]","[[-0.98320041  0.13616096  0.12156126 -0.01641953]
 [-0.16425233 -0.95047148 -0.26386575  0.08340735]
 [ 0.07961229 -0.27939964  0.95686871 -0.01247754]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.30573977  0.16569655 -1.4954981 ],"[-0.035861817111809184, 0.01583891481002577, 0.007025226870797071, 0.06386116910838344, 0.015988915764778705, 0.02594546728704729, 0.06386104297512753, 0.015988915765295333, -0.026326664150262066, -0.06393447592940825, 0.03809220467556621, 0.013043159853971299, 0.09208346110650545, 0.038242206929867587, 0.031217266506818272, 0.09208345326080501, 0.03824220692989974, -0.03159783008668336]","[0.03176659905563366, 0.05612552429865347, 0.03412715372643301, -0.06479943653477369, 0.0642750216059697, 0.0643142112570717, -0.06896081686819319, 0.07887981909176368, 0.01429662905706096, 0.05619159555272879, 0.029470598527161607, 0.030601096643484357, -0.09578306062514802, 0.04549373850514066, 0.06691748681527733, -0.10078390691091749, 0.06304425275765711, 0.0068116855482671336]","[0.03176659905563366, 0.0561255242986535, 0.03412715372643301, -0.06479943653477369, 0.06427502160596972, 0.06431421125707168, -0.06896081686819318, 0.07887981909176368, 0.014296629057060962, 0.05619159555272879, 0.02947059852716162, 0.030601096643484357, -0.095783060625148, 0.045493738505140664, 0.06691748681527732, -0.1007839069109175, 0.06304425275765713, 0.006811685548267133]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[0.01851623426778687, 0.06321463760534618, -0.0016061411617559313]","[-0.022228930573608956, 0.011260582809427789, 0.05498486439905287]","[-0.022228930573608953, 0.011260582809427773, 0.054984864399052875]","[0.0, 0.0, 2.168404344971009e-18]","[0.0011616551930882946, 0.07245763208426073, 0.06200787557736855]","[0.001161655193088292, 0.07245763208426072, 0.06200787557736856]","[[-0.98370486  0.09120296 -0.15494121  0.00414195]
 [-0.08589403 -0.9954753  -0.04063428  0.07474921]
 [-0.15794611 -0.02666362  0.98708767 -0.05909175]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.53871163  0.0864911  -1.73471437],"[-0.04147603828056505, 0.013679423415701386, 0.007879822481862317, 0.05824694793962756, 0.013829424370454334, 0.02680006289811253, 0.05824682180637168, 0.013829424370970969, -0.02547206853919682, -0.06954869709816411, 0.0359327132812418, 0.013897755465036533, 0.08646923993774958, 0.036082715535543236, 0.032071862117883515, 0.08646923209204915, 0.03608271553557538, -0.03074323447561811]","[0.039542267300711614, 0.054847261753238605, 0.07565644509329263, -0.061556980972386405, 0.06328848951068723, 0.07887508625521564, -0.05330067704421961, 0.06468224199974752, 0.0272779291197665, 0.06429554422058535, 0.02997389180639422, 0.08504203775089969, -0.09206347166904152, 0.043569279316325774, 0.07880177183269647, -0.08214206376086487, 0.04524415615902197, 0.01679776540785027]","[0.039542267300711614, 0.05484726175323858, 0.07565644509329264, -0.061556980972386405, 0.0632884895106872, 0.07887508625521564, -0.05330067704421962, 0.0646822419997475, 0.02727792911976651, 0.06429554422058535, 0.029973891806394204, 0.0850420377508997, -0.09206347166904152, 0.04356927931632575, 0.07880177183269649, -0.08214206376086487, 0.04524415615902195, 0.016797765407850267]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[0.007205319665995427, 0.049293299109207406, -0.0030630351570505453]","[-0.015427930573608872, 0.027708582809427933, 0.05498486439905287]","[-0.015427930573608868, 0.02770858280942795, 0.054984864399052875]","[0.0, 0.0, 2.6020852139652106e-18]","[-5.603794906338007e-05, 0.07476536445659177, 0.06134822601716673]","[-5.6037949063377555e-05, 0.07476536445659178, 0.06134822601716673]","[[-0.97599629  0.18190122 -0.11976303 -0.00630735]
 [-0.17706153 -0.98293031 -0.04997224  0.07654493]
 [-0.12680872 -0.02756729  0.99154404 -0.0587755 ]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.52291152  0.17817506 -1.70644081],"[-0.03329900401086856, 0.017122540457626456, 0.008324859911111121, 0.06642398220932402, 0.017272541412379383, 0.027245100327361348, 0.06642385607606813, 0.017272541412895963, -0.025027031109948, -0.061371662828467635, 0.0393758303231669, 0.014342792894285337, 0.09464627420744605, 0.03952583257746827, 0.032516899547132314, 0.09464626636174558, 0.039525832577500364, -0.030298197046369293]","[0.02835625844431049, 0.05164847717074436, 0.07273502926685105, -0.07139881729252942, 0.06911918978058065, 0.07954465803864905, -0.06477013192711661, 0.07056016798795565, 0.027714552528940836, 0.05105174142925178, 0.024502695088422087, 0.08095209489506501, -0.10355238153656723, 0.05223409556802217, 0.08027984519619466, -0.09558687166638136, 0.053965736299776156, 0.01799591120888859]","[0.02835625844431049, 0.051648477170744375, 0.07273502926685105, -0.0713988172925294, 0.06911918978058065, 0.07954465803864905, -0.06477013192711661, 0.07056016798795565, 0.027714552528940846, 0.05105174142925179, 0.0245026950884221, 0.08095209489506501, -0.10355238153656723, 0.05223409556802218, 0.08027984519619467, -0.09558687166638137, 0.053965736299776156, 0.0179959112088886]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[0.014716004218904153, 0.04437334580381524, 0.01592819017307539]","[-0.027510923025446322, 0.03807979761395457, 0.05497032729044586]","[-0.02751092302544632, 0.03807979761395458, 0.05497032729044586]","[0.0, 0.0, 0.0]","[-0.0007613474010502198, 0.07894625272308803, 0.04764537739892292]","[-0.0007613474010502189, 0.07894625272308803, 0.04764537739892291]","[[-0.96381586  0.26316614 -0.04245674 -0.01948691]
 [-0.25224541 -0.95189117 -0.17399842  0.08324641]
 [-0.08620469 -0.15699292  0.98383026 -0.03454659]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.39365023  0.25573476 -1.66037825],"[-0.026795044082419825, 0.021299758943075765, 0.008752668273614796, 0.07292794213777276, 0.02144975989782872, 0.02767290868986503, 0.0729278160045169, 0.0214497598983453, -0.024599222747444333, -0.0548677029000189, 0.0435530488086162, 0.014770601256789011, 0.10115023413589477, 0.043703051062917615, 0.03294470790963601, 0.10115022629019436, 0.04370305106294975, -0.02987038868386562]","[0.018936853528269376, 0.050245544833629516, 0.05368802310358136, -0.07884659234193189, 0.07337613033532969, 0.06804231536986222, -0.07434036798331364, 0.08158245155215872, 0.01661541619120989, 0.03986166300377085, 0.02073028840357425, 0.05692848396603723, -0.11211542921235296, 0.05879293555962243, 0.06815860699535678, -0.10670046583756271, 0.06865445876375958, 0.006359214669906324]","[0.018936853528269373, 0.05024554483362952, 0.05368802310358135, -0.07884659234193189, 0.07337613033532969, 0.06804231536986222, -0.07434036798331366, 0.08158245155215874, 0.01661541619120989, 0.03986166300377086, 0.020730288403574243, 0.056928483966037224, -0.11211542921235296, 0.05879293555962242, 0.06815860699535677, -0.1067004658375627, 0.06865445876375958, 0.006359214669906323]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
"[0.04990204991053582, 0.09823251465972536, 0.037287759759904844]","[-0.053568799142737204, -0.02651460693381617, 0.05493976189561294]","[-0.0535687991427372, -0.026514606933816146, 0.05493976189561294]","[-8.673617379884035e-19, 0.0, 0.0]","[-0.00011742587324570404, 0.07540589646932613, 0.03804656115641928]","[-0.00011742587324570389, 0.07540589646932613, 0.03804656115641928]","[[-0.99315537  0.04882203  0.10610762 -0.00783512]
 [-0.07393248 -0.96606397 -0.24749626  0.08225462]
 [ 0.09042348 -0.25364704  0.96306115 -0.01750406]
 [ 0.          0.          0.          1.        ]]",CylinderM,normal,[-1.32721704  0.07401073 -1.48822283],"[-0.04400908473249942, 0.012950101516409407, 0.0070391556216830055, 0.05571390148769318, 0.013100102471162375, 0.02595939603793323, 0.05571377535443729, 0.013100102471678976, -0.026312735399376133, -0.07208174355009848, 0.03520339138194984, 0.013057088604857235, 0.08393619348581519, 0.035353393636251285, 0.031231195257704215, 0.08393618564011476, 0.03535339363628341, -0.031583901335797415]","[0.04326950462206099, 0.0589611962997198, 0.03695089758074056, -0.0540711703251775, 0.05888590127308044, 0.06571649004540014, -0.05879767302543729, 0.07214456630749486, 0.015375217725911747, 0.07004893789060052, 0.03456609979716344, 0.034260206077452844, -0.0832688376925874, 0.037428491776729855, 0.06828054900086006, -0.08894878945728203, 0.05336135444685437, 0.007785769100965421]","[0.043269504622061, 0.058961196299719805, 0.03695089758074056, -0.0540711703251775, 0.05888590127308044, 0.06571649004540013, -0.058797673025437286, 0.07214456630749487, 0.01537521772591175, 0.07004893789060052, 0.03456609979716344, 0.034260206077452844, -0.08326883769258739, 0.03742849177672985, 0.06828054900086006, -0.08894878945728203, 0.05336135444685439, 0.007785769100965425]",None,0,0,gym_kinova_gripper/envs/kinova_description/obj_hand_coords/with_noise/shape_coords/normal/CylinderM.txt,0
