obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,position-dependent_success,policy_success,difficulty
"[0.05254296895189796, -0.0044333829592923995, 0.054980000121842634]","[-0.026858307079133517, 0.0795326375561884, -0.015524927548539152]",[-1.59457524 -0.13510057 -1.59749986],CylinderM,normal,TRUE,TRUE,FALSE,med
"[0.07986962780632154, -0.009859114866539195, 0.054980000121842634]","[-0.048837187266426434, 0.08650648992277907, -0.039170727583484895]",[-1.70970527 -0.15154213 -1.62223258],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[0.05546936888350052, 0.0076502883868540695, 0.054980000121842634]","[-0.03714653952469689, 0.0672594395857672, -0.009438011125713339]",[-1.58160586 -0.10955938 -1.49338676],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.0018526589351819008, 0.006588675946554004, 0.054980000121842634]","[0.026524387813900516, 0.05546264468605876, -0.04584829459372546]",[-1.79637748 -0.11067763 -1.70293947],CylinderM,normal,TRUE,TRUE,FALSE,med
"[0.017566166569176832, -0.007992704650015727, 0.054980000121842634]","[-0.0016010672729950028, 0.07725226546964006, -0.026314050754296547]",[-1.65467293 -0.07539216 -1.64211333],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.03124478241227253, -0.001413234001613273, 0.054980000121842634]","[-0.014899239277807591, 0.07066225463620839, -0.03368585333755981]",[-1.69448046 -0.0797109  -1.63142614],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.03761094876708444, 0.0024504335872310217, 0.054980000121842634]","[-0.04050664231801052, 0.06681983500690299, -0.011872921891247494]",[-1.58321751  0.01506229 -1.55218972],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.06402761566007534, 0.0034525580563626868, 0.054980000121842634]","[-0.030200235556153286, 0.07521043308535595, -0.012733910244102017]",[-1.58948582 -0.18896934 -1.5379923 ],CylinderM,normal,TRUE,TRUE,FALSE,med
"[0.005070939974615069, -0.00875035468897247, 0.054980000121842634]","[0.016701650577970215, 0.07798397696320845, -0.012002770428827969]",[-1.59360039 -0.10315795 -1.74536822],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.01172321148566326, -0.0060450691567162165, 0.054980000121842634]","[0.009639960653237856, 0.07645601630819679, 5.46224055391481e-05]",[-1.51919214 -0.11430555 -1.66055271],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.050651095289688836, 0.008220588462983267, 0.054980000121842634]","[-0.04369846253168728, 0.061058307708461136, -0.031808423660939895]",[-1.67513701 -0.02684469 -1.64993136],CylinderM,normal,FALSE,TRUE,FALSE,med
"[-0.07211577644759508, -0.0023296813179582293, 0.054980000121842634]","[0.06891199430632497, 0.07028866313601036, -0.03606257457480989]",[-1.74543421  0.03695072 -1.65821771],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[0.04236728019946673, 0.0059642333818923626, 0.054980000121842634]","[-0.03261404452623846, 0.058250984610266815, -0.05310311825711979]",[-1.81922095 -0.05627548 -1.57724943],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.0033478267067840414, -0.000570444168684513, 0.054772412375322245]","[0.04403311799762494, 0.06534251824144961, -0.006776775472820455]",[-1.57999069 -0.25808813 -1.6975152 ],CylinderM,normal,FALSE,TRUE,TRUE,med
"[-0.016703230115083387, 0.010255217277954223, 0.054980000121842634]","[0.021966555321176685, 0.057273392567363496, -0.027165200927273384]",[-1.68941631 -0.00268505 -1.73756612],CylinderM,normal,TRUE,TRUE,TRUE,easy
